beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Guns &  Hops (Cover Series),Drunken Bros,IPA - Imperial / Double,Imperial IPA,9.0,150,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-05-17 21:38:18,Spain,Getxo - Leioa,Bizkaia,83,29
Jack The RIPA,Cervesa Guineu,IPA - American,American IPA,7.2,126,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.0,2017-05-24 20:47:09,Spain,08269 Valls de Torroella,Barcelona,84,29
Papaya Rye,Nómada Brewing Co.,IPA - Imperial / Double,Imperial IPA,9.0,72,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-05-24 21:48:46,Spain,08201 Sabadell,Barcelona,84,29
Lupulus Hopera,Brasserie Lupulus,Pale Ale - Belgian,Pale Ale,6.0,35,EMT Bus 72,,,España,40.4411,-3.67175,4.5,2017-05-29 23:21:43,Belgium,Bovigny,Luxembourg,85,29
Brasserie Lion 8,Brasserie Lion,Bière de Champagne / Bière Brut,Bière de Champagne / Bière Brut,8.0,20,Colegio Claret,Madrid,Madrid,España,40.4403,-3.6725199999999996,4.0,2017-05-31 17:35:26,Belgium,Waterloo,Brabant-Wallon,85,29
Ichiban (Ichiban Shibori),Kirin Brewery Company,Lager - Pale,Lager - Pale,5.0,18,Ramen Kagura,Madrid,Madrid,España,40.4169,-3.70862,3.0,2017-06-03 15:11:17,Japan,Nakano-ku,Tokyo,85,30
Viento Norte,La Grúa,Pale Ale - Australian,Pale Ale,5.5,40,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-06-09 19:01:18,Spain,Pontejos,Cantabria,86,30
Premium Cider with Mixed Fruit,Kopparbergs Bryggeri,Cider,Cider,4.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.25,2017-06-09 19:40:41,Sweden,Kopparberg,Kopparberg,86,30
Orval,Brasserie d'Orval,Pale Ale - Belgian,Pale Ale,6.2,36,Torres Blancas,Madrid,Madrid,España,40.4396,-3.67214,4.5,2017-06-11 16:42:49,Belgium,Villers-devant-Orval,Luxembourg,86,30
Fresh,Civil Society Brewing,IPA - New England,American IPA,6.2,0,Boxelder Craft Beer Market,Miami,FL,United States,25.8034,-80.1989,4.25,2017-06-22 18:14:17,United States,Jupiter,FL,88,30
G&T Gose,Anderson Valley Brewing Company,Sour - Gose,Sour,4.2,0,Boxelder Craft Beer Market,Miami,FL,United States,25.8034,-80.1989,2.75,2017-06-22 18:17:18,United States,Boonville,CA,88,30
Mandarina IPA,Highland Brewing Company,IPA - American,American IPA,5.0,35,Boxelder Craft Beer Market,Miami,FL,United States,25.8034,-80.1989,3.0,2017-06-22 18:53:05,United States,Asheville,NC,88,30
Wheat Stroke,Coppertail Brewing Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.0,0,Boxelder Craft Beer Market,Miami,FL,United States,25.8034,-80.1989,3.5,2017-06-22 18:54:46,United States,Tampa,FL,88,30
Samuel Adams Hefeweizen,Boston Beer Company,Hefeweizen,Hefeweizen,5.4,14,Publix,Champions Gate,FL,United States,28.2629,-81.6193,3.25,2017-06-23 19:53:44,United States,Boston,MA,88,30
